date,spoiler,
2024-01-01,0,
2024-01-02,1,
2024-01-03,0,
2024-01-04,1,
2024-01-05,0,
2024-01-06,0,
2024-01-07,0,
2024-01-08,1,
2024-01-09,0,
2024-01-10,0,
2024-01-11,0,
2024-01-12,0,
2024-01-13,0,
2024-01-14,0,
2024-01-15,0,
2024-01-16,1,
2024-01-17,1,
2024-01-18,1,
2024-01-19,0,
2024-01-20,1,
2024-01-21,0,
2024-01-22,0,
2024-01-23,1,
2024-01-24,0,
2024-01-25,0,
2024-01-26,0,
2024-01-27,0,
2024-01-28,1,
2024-01-29,0,
2024-01-30,0,
2024-01-31,0,
2024-02-01,1,
2024-02-02,0,
2024-02-03,1,
2024-02-04,0,
2024-02-05,0,
2024-02-06,0,
2024-02-07,0,
2024-02-08,0,
2024-02-09,1,
2024-02-10,0,
2024-02-11,0,
2024-02-12,0,
2024-02-13,0,
2024-02-14,0,
2024-02-15,1,
2024-02-16,0,
2024-02-17,1,
2024-02-18,0,
2024-02-19,0,
2024-02-20,0,
2024-02-21,1,
2024-02-22,0,
2024-02-23,0,
2024-02-24,1,
